Table Size,Number of Elements,Total Insertion Time,Total Collisions,Total Search Time
1000000,10000,0.008s,57,0.002s
1000000,20000,0.016s,236,0.004s
1000000,100000,0.074s,5953,0.021s
1000000,500000,0.461s,125030,0.136s
1000000,1000000,0.954s,414921,0.28s
100000,10000,0.009s,496,0.002s
100000,20000,0.018s,1910,0.003s
100000,100000,0.114s,36750,0.025s
100000,500000,0.455s,400726,0.203s
100000,1000000,1.17s,900006,0.448s
10000,10000,0.006s,3636,0.002s
10000,20000,0.013s,11358,0.004s
10000,100000,0.097s,90000,0.052s
10000,500000,1.336s,490000,0.786s
10000,1000000,4.736s,990000,2.885s
1000,10000,0.007s,9000,0.002s
1000,20000,0.017s,19000,0.007s
1000,100000,0.305s,99000,0.294s
1000,500000,9.862s,499000,8.128s
1000,1000000,37.619s,999000,24.822s
100,10000,0.012s,9900,0.009s
100,20000,0.049s,19900,0.045s
100,100000,2.216s,99900,2.624s
100,500000,86.986s,499900,73.31s
100,1000000,359.539s,999900,210.096s
